Load Case     c_max BS     C_max overall
Case1-1.609-13.344-60D_30    0.399460E-01    0.399460E-01
Case1-1.609-13.594-60D_30    0.393995E-01    0.393995E-01
Case1-1.609-13.844-60D_30    0.388896E-01    0.388896E-01
Case1-1.634-11.344-60D_30    0.463692E-01    0.463692E-01
Case1-1.634-11.594-60D_30    0.453310E-01    0.453310E-01
Case1-1.634-11.844-60D_30    0.443654E-01    0.443654E-01
Case1-1.634-12.094-60D_30    0.434664E-01    0.434664E-01
Case1-1.634-12.344-60D_30    0.426224E-01    0.426224E-01
Case1-1.634-12.594-60D_30    0.418426E-01    0.418426E-01
Case1-1.634-12.844-60D_30    0.411118E-01    0.411118E-01
Case1-1.634-13.094-60D_30    0.404287E-01    0.404287E-01
Case1-1.634-13.344-60D_30    0.397973E-01    0.397973E-01
Case1-1.634-13.594-60D_30    0.392051E-01    0.392051E-01
Case1-1.634-13.844-60D_30    0.386561E-01    0.386561E-01
Case1-1.659-11.344-60D_30    0.466599E-01    0.466599E-01
Case1-1.659-11.594-60D_30    0.455713E-01    0.455713E-01
Case1-1.659-11.844-60D_30    0.445577E-01    0.445577E-01
Case1-1.659-12.094-60D_30    0.436125E-01    0.436125E-01
Case1-1.659-12.344-60D_30    0.427253E-01    0.427253E-01
Case1-1.659-12.594-60D_30    0.418977E-01    0.418977E-01
Case1-1.659-12.844-60D_30    0.411266E-01    0.411266E-01
Case1-1.659-13.094-60D_30    0.404022E-01    0.404022E-01
Case1-1.659-13.344-60D_30    0.397267E-01    0.397267E-01
Case1-1.659-13.594-60D_30    0.390978E-01    0.390978E-01
Case1-1.659-13.844-60D_30    0.385074E-01    0.385074E-01
