Case Group,Width,Length,Curvature,Status
case_files\Case6,0.5,17.0,0.181688,Checked
case_files\Case6,0.525,17.0,0.170741,Checked
case_files\Case6,0.55,17.0,0.160197,Checked
case_files\Case6,0.575,17.0,0.150191,Checked
case_files\Case6,0.6,17.0,0.140651,Checked
case_files\Case6,0.625,17.0,0.1316,Checked
case_files\Case6,0.65,17.0,0.123074,Checked
case_files\Case6,0.675,17.0,0.115079,Checked
case_files\Case6,0.7,17.0,0.107617,Checked
case_files\Case6,0.725,17.0,0.10067,Checked
case_files\Case6,0.75,17.0,0.0942237,Checked
case_files\Case6,0.775,17.0,0.0882471,Checked
case_files\Case6,0.8,17.0,0.0827164,Checked
case_files\Case6,0.825,17.0,0.0775984,Checked
case_files\Case6,0.85,17.0,0.0728714,Checked
case_files\Case6,0.875,17.0,0.0684939,Checked
case_files\Case6,0.9,17.0,0.0644378,Checked
case_files\Case6,0.925,17.0,0.0606787,Checked
case_files\Case6,0.95,17.0,0.0571907,Checked
case_files\Case6,0.975,17.0,0.053957,Checked
case_files\Case6,1.0,17.0,0.0509536,Checked
case_files\Case6,1.025,17.0,0.0481589,Checked
case_files\Case6,1.05,17.0,0.0455515,Checked
case_files\Case6,1.075,17.0,0.043122,Checked
case_files\Case6,1.1,17.0,0.0408562,Checked
case_files\Case6,1.125,17.0,0.0387396,Checked
case_files\Case6,1.15,17.0,0.0367606,Checked
case_files\Case6,1.175,17.0,0.0349099,Checked
case_files\Case6,1.2,17.0,0.0331751,Checked
case_files\Case6,1.225,17.0,0.0315458,Checked
case_files\Case6,1.225,16.75,0.031473,Checked
case_files\Case6,1.225,16.5,0.0313978,Checked
case_files\Case6,1.225,16.25,0.0313201,Checked
case_files\Case6,1.225,16.0,0.0312394,Checked
case_files\Case6,1.225,15.75,0.0311559,Checked
case_files\Case6,1.225,15.5,0.0310697,Checked
case_files\Case6,1.225,15.25,0.0309805,Checked
case_files\Case6,1.225,15.0,0.0308882,Checked
case_files\Case6,1.225,14.75,0.030793,Checked
case_files\Case6,1.225,14.5,0.0306947,Checked
case_files\Case6,1.225,14.25,0.030593,Checked
case_files\Case6,1.225,14.0,0.0304877,Checked
case_files\Case6,1.225,13.75,0.030379,Checked
case_files\Case6,1.225,13.5,0.0302666,Checked
case_files\Case6,1.225,13.25,0.0301503,Checked
case_files\Case6,1.225,13.0,0.0300302,Checked
case_files\Case6,1.225,12.75,0.0299057,Checked
case_files\Case6,1.225,12.5,0.0297767,Checked
case_files\Case6,1.225,12.25,0.0296434,Checked
case_files\Case6,1.225,12.0,0.0295046,Checked
case_files\Case6,1.225,11.75,0.0293606,Checked
case_files\Case6,1.225,11.5,0.029211,Checked
case_files\Case6,1.225,11.25,0.0290555,Checked
case_files\Case6,1.225,11.0,0.0288939,Checked
case_files\Case6,1.225,10.75,0.0287257,Checked
case_files\Case6,1.225,10.5,0.0285513,Checked
case_files\Case6,1.225,10.25,0.0283698,Checked
case_files\Case6,1.225,10.0,0.0282043,Checked
case_files\Case6,1.225,9.75,0.0280941,Checked
case_files\Case6,1.225,9.5,0.0280403,Checked
case_files\Case6,1.225,9.25,0.0280431,Checked
case_files\Case6,1.225,9.0,0.0281049,Checked
case_files\Case6,1.225,8.75,0.0282277,Checked
case_files\Case6,1.225,8.5,0.0284155,Checked
case_files\Case6,1.225,8.25,0.0286712,Checked
case_files\Case6,1.225,8.0,0.0289995,Checked
