Case Group,Width,Length,Curvature,Status
case_files\Case3,0.5,17.0,0.399346,Checked
case_files\Case3,0.525,17.0,0.381076,Checked
case_files\Case3,0.55,17.0,0.363175,Checked
case_files\Case3,0.575,17.0,0.345804,Checked
case_files\Case3,0.6,17.0,0.328671,Checked
case_files\Case3,0.625,17.0,0.311941,Checked
case_files\Case3,0.65,17.0,0.295529,Checked
case_files\Case3,0.675,17.0,0.279575,Checked
case_files\Case3,0.7,17.0,0.263979,Checked
case_files\Case3,0.725,17.0,0.248704,Checked
case_files\Case3,0.75,17.0,0.233535,Checked
case_files\Case3,0.775,17.0,0.218556,Checked
case_files\Case3,0.8,17.0,0.203644,Checked
case_files\Case3,0.825,17.0,0.189206,Checked
case_files\Case3,0.85,17.0,0.175783,Checked
case_files\Case3,0.875,17.0,0.16354,Checked
case_files\Case3,0.9,17.0,0.15224,Checked
case_files\Case3,0.925,17.0,0.141826,Checked
case_files\Case3,0.95,17.0,0.132237,Checked
case_files\Case3,0.975,17.0,0.123419,Checked
case_files\Case3,1.0,17.0,0.115311,Checked
case_files\Case3,1.025,17.0,0.107861,Checked
case_files\Case3,1.05,17.0,0.101009,Checked
case_files\Case3,1.075,17.0,0.0947058,Checked
case_files\Case3,1.1,17.0,0.0888998,Checked
case_files\Case3,1.125,17.0,0.0835501,Checked
case_files\Case3,1.15,17.0,0.0786178,Checked
case_files\Case3,1.175,17.0,0.0740623,Checked
case_files\Case3,1.2,17.0,0.0698547,Checked
case_files\Case3,1.225,17.0,0.0659605,Checked
case_files\Case3,1.25,17.0,0.0623515,Checked
case_files\Case3,1.275,17.0,0.0589952,Checked
case_files\Case3,1.3,17.0,0.0558758,Checked
case_files\Case3,1.325,17.0,0.0529726,Checked
case_files\Case3,1.35,17.0,0.0502612,Checked
case_files\Case3,1.375,17.0,0.0477307,Checked
case_files\Case3,1.4,17.0,0.0453632,Checked
case_files\Case3,1.4,16.75,0.045173,Checked
case_files\Case3,1.4,16.5,0.0449781,Checked
case_files\Case3,1.4,16.25,0.0447779,Checked
case_files\Case3,1.4,16.0,0.0445724,Checked
case_files\Case3,1.4,15.75,0.0443628,Checked
case_files\Case3,1.4,15.5,0.0441497,Checked
case_files\Case3,1.4,15.25,0.0439567,Checked
case_files\Case3,1.4,15.0,0.0438054,Checked
case_files\Case3,1.4,14.75,0.0436972,Checked
case_files\Case3,1.4,14.5,0.0436304,Checked
case_files\Case3,1.4,14.25,0.0436055,Checked
case_files\Case3,1.4,14.0,0.0436243,Checked
case_files\Case3,1.4,13.75,0.0436883,Checked
case_files\Case3,1.4,13.5,0.0437976,Checked
case_files\Case3,1.4,13.25,0.0439519,Checked
case_files\Case3,1.4,13.0,0.0441533,Checked
case_files\Case3,1.4,12.75,0.0444021,Checked
case_files\Case3,1.4,12.5,0.0447028,Checked
case_files\Case3,1.4,12.25,0.0450553,Checked
case_files\Case3,1.4,12.0,0.0454614,Checked
case_files\Case3,1.4,11.75,0.0459259,Checked
case_files\Case3,1.4,11.5,0.0464493,Checked
case_files\Case3,1.4,11.25,0.0470405,Checked
case_files\Case3,1.425,11.25,0.0465606,Checked
case_files\Case3,1.45,11.25,0.0462427,Checked
case_files\Case3,1.45,11.0,0.0470521,Checked
case_files\Case3,1.475,11.0,0.0469379,Checked
case_files\Case3,1.5,11.0,0.0469387,Checked
case_files\Case3,1.525,11.0,0.0470455,Checked
case_files\Case3,1.55,11.0,0.0472399,Checked
case_files\Case3,1.575,11.0,0.0475135,Checked
case_files\Case3,1.6,11.0,0.0478608,Checked
case_files\Case3,1.625,11.0,0.0482751,Checked
case_files\Case3,1.65,11.0,0.04875,Checked
case_files\Case3,1.675,11.0,0.0492764,Checked
case_files\Case3,1.7,11.0,0.0498657,Checked
case_files\Case3,1.725,11.0,0.0504898,Checked
case_files\Case3,1.75,11.0,0.0511743,Checked
case_files\Case3,1.775,11.0,0.0518947,Checked
case_files\Case3,1.8,11.0,0.0526509,Checked
case_files\Case3,1.825,11.0,0.053445,Checked
case_files\Case3,1.85,11.0,0.0542757,Checked
case_files\Case3,1.875,11.0,0.0551429,Checked
case_files\Case3,1.9,11.0,0.0560402,Checked
case_files\Case3,1.925,11.0,0.0569738,Checked
case_files\Case3,1.95,11.0,0.0579385,Checked
case_files\Case3,1.975,11.0,0.0589295,Checked
case_files\Case3,2.0,11.0,0.0599437,Checked
