case_name,maximum_bs_curvature,maximum_curvature
case_files\Case1-1.875-12.5-60D_30,0.876292E-02,0.876292E-02
case_files\Case1-1.875-12.75-60D_30,0.851341E-02,0.851341E-02
case_files\Case1-1.875-13.0-60D_30,0.827547E-02,0.827547E-02
case_files\Case1-1.875-13.25-60D_30,0.804947E-02,0.804947E-02
case_files\Case1-1.875-13.5-60D_30,0.783755E-02,0.783755E-02
case_files\Case1-1.875-13.75-60D_30,0.763509E-02,0.763509E-02
case_files\Case1-1.875-14.0-60D_30,0.744172E-02,0.744172E-02
case_files\Case1-1.875-14.25-60D_30,0.725998E-02,0.725998E-02
case_files\Case1-1.875-14.5-60D_30,0.708668E-02,0.708668E-02
case_files\Case1-1.875-14.75-60D_30,0.692085E-02,0.692085E-02
case_files\Case1-1.875-15.0-60D_30,0.676334E-02,0.676334E-02
case_files\Case1-1.875-15.25-60D_30,0.661417E-02,0.661417E-02
case_files\Case1-1.875-15.5-60D_30,0.647119E-02,0.647119E-02
case_files\Case1-1.875-15.75-60D_30,0.633413E-02,0.633413E-02
case_files\Case1-1.875-16.0-60D_30,0.620481E-02,0.620481E-02
case_files\Case1-1.875-16.25-60D_30,0.608091E-02,0.608091E-02
case_files\Case1-1.875-16.5-60D_30,0.596196E-02,0.596196E-02
case_files\Case1-1.875-16.75-60D_30,0.584837E-02,0.584837E-02
case_files\Case1-1.875-17.0-60D_30,0.574054E-02,0.574054E-02
case_files\Case1-1.9-8.0-60D_30,0.175789E-01,0.175789E-01
case_files\Case1-1.9-8.25-60D_30,0.167813E-01,0.167813E-01
case_files\Case1-1.9-8.5-60D_30,0.160330E-01,0.160330E-01
case_files\Case1-1.9-8.75-60D_30,0.153464E-01,0.153464E-01
case_files\Case1-1.9-9.0-60D_30,0.146953E-01,0.146953E-01
case_files\Case1-1.9-9.25-60D_30,0.140946E-01,0.140946E-01
case_files\Case1-1.9-9.5-60D_30,0.135304E-01,0.135304E-01
case_files\Case1-1.9-9.75-60D_30,0.129975E-01,0.129975E-01
case_files\Case1-1.9-10.0-60D_30,0.125068E-01,0.125068E-01
case_files\Case1-1.9-10.25-60D_30,0.120403E-01,0.120403E-01
case_files\Case1-1.9-10.5-60D_30,0.116036E-01,0.116036E-01
case_files\Case1-1.9-10.75-60D_30,0.111955E-01,0.111955E-01
case_files\Case1-1.9-11.0-60D_30,0.108071E-01,0.108071E-01
case_files\Case1-1.9-11.25-60D_30,0.104453E-01,0.104453E-01
case_files\Case1-1.9-11.5-60D_30,0.101036E-01,0.101036E-01
case_files\Case1-1.9-11.75-60D_30,0.977819E-02,0.977819E-02
case_files\Case1-1.9-12.0-60D_30,0.947532E-02,0.947532E-02
case_files\Case1-1.9-12.25-60D_30,0.918749E-02,0.918749E-02
case_files\Case1-1.9-12.5-60D_30,0.891296E-02,0.891296E-02
case_files\Case1-1.9-12.75-60D_30,0.865705E-02,0.865705E-02
case_files\Case1-1.9-13.0-60D_30,0.841305E-02,0.841305E-02
case_files\Case1-1.9-13.25-60D_30,0.817999E-02,0.817999E-02
case_files\Case1-1.9-13.5-60D_30,0.796193E-02,0.796193E-02
case_files\Case1-1.9-13.75-60D_30,0.775383E-02,0.775383E-02
case_files\Case1-1.9-14.0-60D_30,0.755473E-02,0.755473E-02
case_files\Case1-1.9-14.25-60D_30,0.736751E-02,0.736751E-02
case_files\Case1-1.9-14.5-60D_30,0.718900E-02,0.718900E-02
case_files\Case1-1.9-14.75-60D_30,0.701793E-02,0.701793E-02
case_files\Case1-1.9-15.0-60D_30,0.685609E-02,0.685609E-02
case_files\Case1-1.9-15.25-60D_30,0.670212E-02,0.670212E-02
case_files\Case1-1.9-15.5-60D_30,0.655434E-02,0.655434E-02
case_files\Case1-1.9-15.75-60D_30,0.641358E-02,0.641358E-02
case_files\Case1-1.9-16.0-60D_30,0.628010E-02,0.628010E-02
case_files\Case1-1.9-16.25-60D_30,0.615181E-02,0.615181E-02
case_files\Case1-1.9-16.5-60D_30,0.602869E-02,0.602869E-02
case_files\Case1-1.9-16.75-60D_30,0.591246E-02,0.591246E-02
case_files\Case1-1.9-17.0-60D_30,0.580057E-02,0.580057E-02
case_files\Case1-1.925-8.0-60D_30,0.179408E-01,0.179408E-01
case_files\Case1-1.925-8.25-60D_30,0.171205E-01,0.171205E-01
case_files\Case1-1.925-8.5-60D_30,0.163678E-01,0.163678E-01
case_files\Case1-1.925-8.75-60D_30,0.156524E-01,0.156524E-01
case_files\Case1-1.925-9.0-60D_30,0.149984E-01,0.149984E-01
case_files\Case1-1.925-9.25-60D_30,0.143787E-01,0.143787E-01
case_files\Case1-1.925-9.5-60D_30,0.138007E-01,0.138007E-01
case_files\Case1-1.925-9.75-60D_30,0.132618E-01,0.132618E-01
case_files\Case1-1.925-10.0-60D_30,0.127489E-01,0.127489E-01
case_files\Case1-1.925-10.25-60D_30,0.122784E-01,0.122784E-01
case_files\Case1-1.925-10.5-60D_30,0.118297E-01,0.118297E-01
case_files\Case1-1.925-10.75-60D_30,0.114089E-01,0.114089E-01
case_files\Case1-1.925-11.0-60D_30,0.110151E-01,0.110151E-01
case_files\Case1-1.925-11.25-60D_30,0.106395E-01,0.106395E-01
case_files\Case1-1.925-11.5-60D_30,0.102906E-01,0.102906E-01
case_files\Case1-1.925-11.75-60D_30,0.995914E-02,0.995914E-02
case_files\Case1-1.925-12.0-60D_30,0.964382E-02,0.964382E-02
case_files\Case1-1.925-12.25-60D_30,0.935053E-02,0.935053E-02
case_files\Case1-1.925-12.5-60D_30,0.906997E-02,0.906997E-02
case_files\Case1-1.925-12.75-60D_30,0.880435E-02,0.880435E-02
case_files\Case1-1.925-13.0-60D_30,0.855488E-02,0.855488E-02
case_files\Case1-1.925-13.25-60D_30,0.831599E-02,0.831599E-02
case_files\Case1-1.925-13.5-60D_30,0.809034E-02,0.809034E-02
case_files\Case1-1.925-13.75-60D_30,0.787695E-02,0.787695E-02
case_files\Case1-1.925-14.0-60D_30,0.767238E-02,0.767238E-02
case_files\Case1-1.925-14.25-60D_30,0.747918E-02,0.747918E-02
case_files\Case1-1.925-14.5-60D_30,0.729567E-02,0.729567E-02
case_files\Case1-1.925-14.75-60D_30,0.711951E-02,0.711951E-02
case_files\Case1-1.925-15.0-60D_30,0.695293E-02,0.695293E-02
case_files\Case1-1.925-15.25-60D_30,0.679428E-02,0.679428E-02
case_files\Case1-1.925-15.5-60D_30,0.664180E-02,0.664180E-02
case_files\Case1-1.925-15.75-60D_30,0.649726E-02,0.649726E-02
case_files\Case1-1.925-16.0-60D_30,0.635944E-02,0.635944E-02
case_files\Case1-1.925-16.25-60D_30,0.622679E-02,0.622679E-02
case_files\Case1-1.925-16.5-60D_30,0.610067E-02,0.610067E-02
case_files\Case1-1.925-16.75-60D_30,0.598039E-02,0.598039E-02
case_files\Case1-1.925-17.0-60D_30,0.586447E-02,0.586447E-02
case_files\Case1-1.95-8.0-60D_30,0.182978E-01,0.182978E-01
case_files\Case1-1.95-8.25-60D_30,0.174756E-01,0.174756E-01
case_files\Case1-1.95-8.5-60D_30,0.166918E-01,0.166918E-01
case_files\Case1-1.95-8.75-60D_30,0.159771E-01,0.159771E-01
case_files\Case1-1.95-9.0-60D_30,0.152981E-01,0.152981E-01
case_files\Case1-1.95-9.25-60D_30,0.146690E-01,0.146690E-01
case_files\Case1-1.95-9.5-60D_30,0.140786E-01,0.140786E-01
case_files\Case1-1.95-9.75-60D_30,0.135222E-01,0.135222E-01
case_files\Case1-1.95-10.0-60D_30,0.130069E-01,0.130069E-01
case_files\Case1-1.95-10.25-60D_30,0.125146E-01,0.125146E-01
case_files\Case1-1.95-10.5-60D_30,0.120611E-01,0.120611E-01
case_files\Case1-1.95-10.75-60D_30,0.116292E-01,0.116292E-01
case_files\Case1-1.95-11.0-60D_30,0.112233E-01,0.112233E-01
case_files\Case1-1.95-11.25-60D_30,0.108430E-01,0.108430E-01
case_files\Case1-1.95-11.5-60D_30,0.104792E-01,0.104792E-01
case_files\Case1-1.95-11.75-60D_30,0.101425E-01,0.101425E-01
case_files\Case1-1.95-12.0-60D_30,0.982066E-02,0.982066E-02
case_files\Case1-1.95-12.25-60D_30,0.951621E-02,0.951621E-02
case_files\Case1-1.95-12.5-60D_30,0.923058E-02,0.923058E-02
case_files\Case1-1.95-12.75-60D_30,0.895679E-02,0.895679E-02
case_files\Case1-1.95-13.0-60D_30,0.870027E-02,0.870027E-02
case_files\Case1-1.95-13.25-60D_30,0.845616E-02,0.845616E-02
case_files\Case1-1.95-13.5-60D_30,0.822223E-02,0.822223E-02
case_files\Case1-1.95-13.75-60D_30,0.800405E-02,0.800405E-02
case_files\Case1-1.95-14.0-60D_30,0.779438E-02,0.779438E-02
case_files\Case1-1.95-14.25-60D_30,0.759465E-02,0.759465E-02
case_files\Case1-1.95-14.5-60D_30,0.740645E-02,0.740645E-02
case_files\Case1-1.95-14.75-60D_30,0.722542E-02,0.722542E-02
case_files\Case1-1.95-15.0-60D_30,0.705367E-02,0.705367E-02
case_files\Case1-1.95-15.25-60D_30,0.689054E-02,0.689054E-02
case_files\Case1-1.95-15.5-60D_30,0.673347E-02,0.673347E-02
case_files\Case1-1.95-15.75-60D_30,0.658482E-02,0.658482E-02
case_files\Case1-1.95-16.0-60D_30,0.644276E-02,0.644276E-02
case_files\Case1-1.95-16.25-60D_30,0.630583E-02,0.630583E-02
case_files\Case1-1.95-16.5-60D_30,0.617642E-02,0.617642E-02
case_files\Case1-1.95-16.75-60D_30,0.605216E-02,0.605216E-02
case_files\Case1-1.95-17.0-60D_30,0.593225E-02,0.593225E-02
case_files\Case1-1.975-8.0-60D_30,0.186760E-01,0.186760E-01
case_files\Case1-1.975-8.25-60D_30,0.178203E-01,0.178203E-01
case_files\Case1-1.975-8.5-60D_30,0.170363E-01,0.170363E-01
case_files\Case1-1.975-8.75-60D_30,0.162949E-01,0.162949E-01
case_files\Case1-1.975-9.0-60D_30,0.156075E-01,0.156075E-01
case_files\Case1-1.975-9.25-60D_30,0.149626E-01,0.149626E-01
case_files\Case1-1.975-9.5-60D_30,0.143570E-01,0.143570E-01
case_files\Case1-1.975-9.75-60D_30,0.137940E-01,0.137940E-01
case_files\Case1-1.975-10.0-60D_30,0.132578E-01,0.132578E-01
case_files\Case1-1.975-10.25-60D_30,0.127646E-01,0.127646E-01
case_files\Case1-1.975-10.5-60D_30,0.122916E-01,0.122916E-01
case_files\Case1-1.975-10.75-60D_30,0.118543E-01,0.118543E-01
case_files\Case1-1.975-11.0-60D_30,0.114379E-01,0.114379E-01
case_files\Case1-1.975-11.25-60D_30,0.110462E-01,0.110462E-01
case_files\Case1-1.975-11.5-60D_30,0.106785E-01,0.106785E-01
case_files\Case1-1.975-11.75-60D_30,0.103264E-01,0.103264E-01
case_files\Case1-1.975-12.0-60D_30,0.100007E-01,0.100007E-01
case_files\Case1-1.975-12.25-60D_30,0.968774E-02,0.968774E-02
case_files\Case1-1.975-12.5-60D_30,0.939365E-02,0.939365E-02
case_files\Case1-1.975-12.75-60D_30,0.911517E-02,0.911517E-02
case_files\Case1-1.975-13.0-60D_30,0.884829E-02,0.884829E-02
case_files\Case1-1.975-13.25-60D_30,0.859980E-02,0.859980E-02
case_files\Case1-1.975-13.5-60D_30,0.836070E-02,0.836070E-02
case_files\Case1-1.975-13.75-60D_30,0.813458E-02,0.813458E-02
case_files\Case1-1.975-14.0-60D_30,0.792033E-02,0.792033E-02
case_files\Case1-1.975-14.25-60D_30,0.771408E-02,0.771408E-02
case_files\Case1-1.975-14.5-60D_30,0.752103E-02,0.752103E-02
case_files\Case1-1.975-14.75-60D_30,0.733544E-02,0.733544E-02
case_files\Case1-1.975-15.0-60D_30,0.715806E-02,0.715806E-02
case_files\Case1-1.975-15.25-60D_30,0.699071E-02,0.699071E-02
case_files\Case1-1.975-15.5-60D_30,0.682925E-02,0.682925E-02
case_files\Case1-1.975-15.75-60D_30,0.667611E-02,0.667611E-02
case_files\Case1-1.975-16.0-60D_30,0.652998E-02,0.652998E-02
case_files\Case1-1.975-16.25-60D_30,0.638887E-02,0.638887E-02
case_files\Case1-1.975-16.5-60D_30,0.625587E-02,0.625587E-02
case_files\Case1-1.975-16.75-60D_30,0.612773E-02,0.612773E-02
case_files\Case1-1.975-17.0-60D_30,0.600433E-02,0.600433E-02
case_files\Case1-2.0-8.0-60D_30,0.190442E-01,0.190442E-01
case_files\Case1-2.0-8.25-60D_30,0.181809E-01,0.181809E-01
case_files\Case1-2.0-8.5-60D_30,0.173748E-01,0.173748E-01
case_files\Case1-2.0-8.75-60D_30,0.166210E-01,0.166210E-01
case_files\Case1-2.0-9.0-60D_30,0.159192E-01,0.159192E-01
case_files\Case1-2.0-9.25-60D_30,0.152576E-01,0.152576E-01
case_files\Case1-2.0-9.5-60D_30,0.146446E-01,0.146446E-01
case_files\Case1-2.0-9.75-60D_30,0.140611E-01,0.140611E-01
case_files\Case1-2.0-10.0-60D_30,0.135237E-01,0.135237E-01
case_files\Case1-2.0-10.25-60D_30,0.130071E-01,0.130071E-01
case_files\Case1-2.0-10.5-60D_30,0.125341E-01,0.125341E-01
case_files\Case1-2.0-10.75-60D_30,0.120792E-01,0.120792E-01
case_files\Case1-2.0-11.0-60D_30,0.116572E-01,0.116572E-01
case_files\Case1-2.0-11.25-60D_30,0.112554E-01,0.112554E-01
case_files\Case1-2.0-11.5-60D_30,0.108772E-01,0.108772E-01
case_files\Case1-2.0-11.75-60D_30,0.105212E-01,0.105212E-01
case_files\Case1-2.0-12.0-60D_30,0.101810E-01,0.101810E-01
case_files\Case1-2.0-12.25-60D_30,0.986474E-02,0.986474E-02
case_files\Case1-2.0-12.5-60D_30,0.956009E-02,0.956009E-02
case_files\Case1-2.0-12.75-60D_30,0.927585E-02,0.927585E-02
case_files\Case1-2.0-13.0-60D_30,0.900401E-02,0.900401E-02
case_files\Case1-2.0-13.25-60D_30,0.874597E-02,0.874597E-02
case_files\Case1-2.0-13.5-60D_30,0.850275E-02,0.850275E-02
case_files\Case1-2.0-13.75-60D_30,0.826827E-02,0.826827E-02
case_files\Case1-2.0-14.0-60D_30,0.804964E-02,0.804964E-02
case_files\Case1-2.0-14.25-60D_30,0.783899E-02,0.783899E-02
case_files\Case1-2.0-14.5-60D_30,0.763893E-02,0.763893E-02
case_files\Case1-2.0-14.75-60D_30,0.744924E-02,0.744924E-02
case_files\Case1-2.0-15.0-60D_30,0.726607E-02,0.726607E-02
case_files\Case1-2.0-15.25-60D_30,0.709452E-02,0.709452E-02
case_files\Case1-2.0-15.5-60D_30,0.692894E-02,0.692894E-02
case_files\Case1-2.0-15.75-60D_30,0.677091E-02,0.677091E-02
case_files\Case1-2.0-16.0-60D_30,0.662093E-02,0.662093E-02
case_files\Case1-2.0-16.25-60D_30,0.647582E-02,0.647582E-02
case_files\Case1-2.0-16.5-60D_30,0.633890E-02,0.633890E-02
case_files\Case1-2.0-16.75-60D_30,0.620701E-02,0.620701E-02
case_files\Case1-2.0-17.0-60D_30,0.608016E-02,0.608016E-02
case_files\Case2-0.5-8.0-60D_30,0.315614,0.315614
case_files\Case2-0.5-8.25-60D_30,0.315050,0.315050
case_files\Case2-0.5-8.5-60D_30,0.314464,0.314464
case_files\Case2-0.5-8.75-60D_30,0.313855,0.313855
case_files\Case2-0.5-9.0-60D_30,0.313222,0.313222
case_files\Case2-0.5-9.25-60D_30,0.312577,0.312577
case_files\Case2-0.5-9.5-60D_30,0.311912,0.311912
case_files\Case2-0.5-9.75-60D_30,0.311232,0.311232
case_files\Case2-0.5-10.0-60D_30,0.310535,0.310535
case_files\Case2-0.5-10.25-60D_30,0.309829,0.309829
case_files\Case2-0.5-10.5-60D_30,0.309111,0.309111
case_files\Case2-0.5-10.75-60D_30,0.308381,0.308381
case_files\Case2-0.5-11.0-60D_30,0.307641,0.307641
case_files\Case2-0.5-11.25-60D_30,0.306889,0.306889
case_files\Case2-0.5-11.5-60D_30,0.306133,0.306133
case_files\Case2-0.5-11.75-60D_30,0.305366,0.305366
case_files\Case2-0.5-12.0-60D_30,0.304593,0.304593
case_files\Case2-0.5-12.25-60D_30,0.303810,0.303810
case_files\Case2-0.5-12.5-60D_30,0.303026,0.303026
case_files\Case2-0.5-12.75-60D_30,0.302234,0.302234
case_files\Case2-0.5-13.0-60D_30,0.301435,0.301435
case_files\Case2-0.5-13.25-60D_30,0.300635,0.300635
case_files\Case2-0.5-13.5-60D_30,0.299830,0.299830
case_files\Case2-0.5-13.75-60D_30,0.299020,0.299020
case_files\Case2-0.5-14.0-60D_30,0.298204,0.298204
case_files\Case2-0.5-14.25-60D_30,0.297387,0.297387
case_files\Case2-0.5-14.5-60D_30,0.296567,0.296567
case_files\Case2-0.5-14.75-60D_30,0.295741,0.295741
case_files\Case2-0.5-15.0-60D_30,0.294916,0.294916
case_files\Case2-0.5-15.25-60D_30,0.294087,0.294087
case_files\Case2-0.5-15.5-60D_30,0.293256,0.293256
case_files\Case2-0.5-15.75-60D_30,0.292422,0.292422
case_files\Case2-0.5-16.0-60D_30,0.291588,0.291588
case_files\Case2-0.5-16.25-60D_30,0.290750,0.290750
case_files\Case2-0.5-16.5-60D_30,0.289912,0.289912
case_files\Case2-0.5-16.75-60D_30,0.289073,0.289073
case_files\Case2-0.5-17.0-60D_30,0.288233,0.288233
case_files\Case2-0.525-8.0-60D_30,0.296079,0.296079
case_files\Case2-0.525-8.25-60D_30,0.295677,0.295677
case_files\Case2-0.525-8.5-60D_30,0.295248,0.295248
case_files\Case2-0.525-8.75-60D_30,0.294795,0.294795
case_files\Case2-0.525-9.0-60D_30,0.294315,0.294315
case_files\Case2-0.525-9.25-60D_30,0.293814,0.293814
case_files\Case2-0.525-9.5-60D_30,0.293295,0.293295
case_files\Case2-0.525-9.75-60D_30,0.292755,0.292755
case_files\Case2-0.525-10.0-60D_30,0.292201,0.292201
case_files\Case2-0.525-10.25-60D_30,0.291627,0.291627
case_files\Case2-0.525-10.5-60D_30,0.291041,0.291041
case_files\Case2-0.525-10.75-60D_30,0.290441,0.290441
case_files\Case2-0.525-11.0-60D_30,0.289830,0.289830
case_files\Case2-0.525-11.25-60D_30,0.289206,0.289206
case_files\Case2-0.525-11.5-60D_30,0.288574,0.288574
case_files\Case2-0.525-11.75-60D_30,0.287928,0.287928
case_files\Case2-0.525-12.0-60D_30,0.287277,0.287277
case_files\Case2-0.525-12.25-60D_30,0.286615,0.286615
case_files\Case2-0.525-12.5-60D_30,0.285947,0.285947
case_files\Case2-0.525-12.75-60D_30,0.285271,0.285271
case_files\Case2-0.525-13.0-60D_30,0.284589,0.284589
case_files\Case2-0.525-13.25-60D_30,0.283900,0.283900
case_files\Case2-0.525-13.5-60D_30,0.283205,0.283205
case_files\Case2-0.525-13.75-60D_30,0.282504,0.282504
case_files\Case2-0.525-14.0-60D_30,0.281798,0.281798
case_files\Case2-0.525-14.25-60D_30,0.281089,0.281089
case_files\Case2-0.525-14.5-60D_30,0.280373,0.280373
case_files\Case2-0.525-14.75-60D_30,0.279656,0.279656
case_files\Case2-0.525-15.0-60D_30,0.278933,0.278933
case_files\Case2-0.525-15.25-60D_30,0.278206,0.278206
case_files\Case2-0.525-15.5-60D_30,0.277479,0.277479
case_files\Case2-0.525-15.75-60D_30,0.276745,0.276745
case_files\Case2-0.525-16.0-60D_30,0.276012,0.276012
case_files\Case2-0.525-16.25-60D_30,0.275273,0.275273
case_files\Case2-0.525-16.5-60D_30,0.274533,0.274533
case_files\Case2-0.525-16.75-60D_30,0.273793,0.273793
case_files\Case2-0.525-17.0-60D_30,0.273049,0.273049
case_files\Case2-0.55-8.0-60D_30,0.276953,0.276953
case_files\Case2-0.55-8.25-60D_30,0.276708,0.276708
case_files\Case2-0.55-8.5-60D_30,0.276429,0.276429
case_files\Case2-0.55-8.75-60D_30,0.276121,0.276121
case_files\Case2-0.55-9.0-60D_30,0.275786,0.275786
case_files\Case2-0.55-9.25-60D_30,0.275425,0.275425
case_files\Case2-0.55-9.5-60D_30,0.275043,0.275043
case_files\Case2-0.55-9.75-60D_30,0.274635,0.274635
case_files\Case2-0.55-10.0-60D_30,0.274210,0.274210
case_files\Case2-0.55-10.25-60D_30,0.273766,0.273766
case_files\Case2-0.55-10.5-60D_30,0.273305,0.273305
case_files\Case2-0.55-10.75-60D_30,0.272829,0.272829
case_files\Case2-0.55-11.0-60D_30,0.272338,0.272338
case_files\Case2-0.55-11.25-60D_30,0.271835,0.271835
case_files\Case2-0.55-11.5-60D_30,0.271319,0.271319
case_files\Case2-0.55-11.75-60D_30,0.270791,0.270791
case_files\Case2-0.55-12.0-60D_30,0.270252,0.270252
case_files\Case2-0.55-12.25-60D_30,0.269702,0.269702
case_files\Case2-0.55-12.5-60D_30,0.269143,0.269143
case_files\Case2-0.55-12.75-60D_30,0.268575,0.268575
case_files\Case2-0.55-13.0-60D_30,0.267999,0.267999
case_files\Case2-0.55-13.25-60D_30,0.267416,0.267416
case_files\Case2-0.55-13.5-60D_30,0.266825,0.266825
case_files\Case2-0.55-13.75-60D_30,0.266227,0.266227
case_files\Case2-0.55-14.0-60D_30,0.265623,0.265623
case_files\Case2-0.55-14.25-60D_30,0.265013,0.265013
case_files\Case2-0.55-14.5-60D_30,0.264398,0.264398
case_files\Case2-0.55-14.75-60D_30,0.263777,0.263777
case_files\Case2-0.55-15.0-60D_30,0.263152,0.263152
case_files\Case2-0.55-15.25-60D_30,0.262523,0.262523
case_files\Case2-0.55-15.5-60D_30,0.261891,0.261891
case_files\Case2-0.55-15.75-60D_30,0.261252,0.261252
case_files\Case2-0.55-16.0-60D_30,0.260611,0.260611
case_files\Case2-0.55-16.25-60D_30,0.259968,0.259968
case_files\Case2-0.55-16.5-60D_30,0.259321,0.259321
case_files\Case2-0.55-16.75-60D_30,0.258670,0.258670
case_files\Case2-0.55-17.0-60D_30,0.258016,0.258016
case_files\Case2-0.575-8.0-60D_30,0.258287,0.258287
case_files\Case2-0.575-8.25-60D_30,0.258187,0.258187
case_files\Case2-0.575-8.5-60D_30,0.258054,0.258054
case_files\Case2-0.575-8.75-60D_30,0.257885,0.257885
case_files\Case2-0.575-9.0-60D_30,0.257683,0.257683
case_files\Case2-0.575-9.25-60D_30,0.257454,0.257454
case_files\Case2-0.575-9.5-60D_30,0.257199,0.257199
case_files\Case2-0.575-9.75-60D_30,0.256922,0.256922
case_files\Case2-0.575-10.0-60D_30,0.256620,0.256620
case_files\Case2-0.575-10.25-60D_30,0.256296,0.256296
case_files\Case2-0.575-10.5-60D_30,0.255955,0.255955
case_files\Case2-0.575-10.75-60D_30,0.255595,0.255595
case_files\Case2-0.575-11.0-60D_30,0.255218,0.255218
case_files\Case2-0.575-11.25-60D_30,0.254824,0.254824
case_files\Case2-0.575-11.5-60D_30,0.254419,0.254419
case_files\Case2-0.575-11.75-60D_30,0.253998,0.253998
case_files\Case2-0.575-12.0-60D_30,0.253565,0.253565
case_files\Case2-0.575-12.25-60D_30,0.253117,0.253117
case_files\Case2-0.575-12.5-60D_30,0.252663,0.252663
case_files\Case2-0.575-12.75-60D_30,0.252195,0.252195
case_files\Case2-0.575-13.0-60D_30,0.251719,0.251719
case_files\Case2-0.575-13.25-60D_30,0.251235,0.251235
case_files\Case2-0.575-13.5-60D_30,0.250740,0.250740
case_files\Case2-0.575-13.75-60D_30,0.250240,0.250240
case_files\Case2-0.575-14.0-60D_30,0.249732,0.249732
case_files\Case2-0.575-14.25-60D_30,0.249215,0.249215
case_files\Case2-0.575-14.5-60D_30,0.248692,0.248692
case_files\Case2-0.575-14.75-60D_30,0.248163,0.248163
case_files\Case2-0.575-15.0-60D_30,0.247629,0.247629
case_files\Case2-0.575-15.25-60D_30,0.247090,0.247090
case_files\Case2-0.575-15.5-60D_30,0.246544,0.246544
case_files\Case2-0.575-15.75-60D_30,0.245992,0.245992
case_files\Case2-0.575-16.0-60D_30,0.245438,0.245438
case_files\Case2-0.575-16.25-60D_30,0.244877,0.244877
case_files\Case2-0.575-16.5-60D_30,0.244313,0.244313
case_files\Case2-0.575-16.75-60D_30,0.243747,0.243747
case_files\Case2-0.575-17.0-60D_30,0.243177,0.243177
case_files\Case2-0.6-8.0-60D_30,0.239887,0.239887
case_files\Case2-0.6-8.25-60D_30,0.239930,0.239930
case_files\Case2-0.6-8.5-60D_30,0.239933,0.239933
case_files\Case2-0.6-8.75-60D_30,0.239899,0.239899
case_files\Case2-0.6-9.0-60D_30,0.239829,0.239829
case_files\Case2-0.6-9.25-60D_30,0.239728,0.239728
case_files\Case2-0.6-9.5-60D_30,0.239597,0.239597
case_files\Case2-0.6-9.75-60D_30,0.239438,0.239438
case_files\Case2-0.6-10.0-60D_30,0.239254,0.239254
case_files\Case2-0.6-10.25-60D_30,0.239048,0.239048
case_files\Case2-0.6-10.5-60D_30,0.238819,0.238819
case_files\Case2-0.6-10.75-60D_30,0.238568,0.238568
case_files\Case2-0.6-11.0-60D_30,0.238300,0.238300
case_files\Case2-0.6-11.25-60D_30,0.238015,0.238015
case_files\Case2-0.6-11.5-60D_30,0.237713,0.237713
case_files\Case2-0.6-11.75-60D_30,0.237397,0.237397
case_files\Case2-0.6-12.0-60D_30,0.237064,0.237064
case_files\Case2-0.6-12.25-60D_30,0.236719,0.236719
case_files\Case2-0.6-12.5-60D_30,0.236361,0.236361
case_files\Case2-0.6-12.75-60D_30,0.235991,0.235991
case_files\Case2-0.6-13.0-60D_30,0.235610,0.235610
case_files\Case2-0.6-13.25-60D_30,0.235218,0.235218
case_files\Case2-0.6-13.5-60D_30,0.234817,0.234817
case_files\Case2-0.6-13.75-60D_30,0.234407,0.234407
case_files\Case2-0.6-14.0-60D_30,0.233986,0.233986
case_files\Case2-0.6-14.25-60D_30,0.233558,0.233558
case_files\Case2-0.6-14.5-60D_30,0.233123,0.233123
case_files\Case2-0.6-14.75-60D_30,0.232678,0.232678
case_files\Case2-0.6-15.0-60D_30,0.232228,0.232228
case_files\Case2-0.6-15.25-60D_30,0.231767,0.231767
case_files\Case2-0.6-15.5-60D_30,0.231302,0.231302
case_files\Case2-0.6-15.75-60D_30,0.230828,0.230828
case_files\Case2-0.6-16.0-60D_30,0.230351,0.230351
case_files\Case2-0.6-16.25-60D_30,0.229865,0.229865
case_files\Case2-0.6-16.5-60D_30,0.229375,0.229375
case_files\Case2-0.6-16.75-60D_30,0.228879,0.228879
case_files\Case2-0.6-17.0-60D_30,0.228378,0.228378
case_files\Case2-0.625-8.0-60D_30,0.221784,0.221784
case_files\Case2-0.625-8.25-60D_30,0.221966,0.221966
case_files\Case2-0.625-8.5-60D_30,0.222101,0.222101
case_files\Case2-0.625-8.75-60D_30,0.222197,0.222197
case_files\Case2-0.625-9.0-60D_30,0.222253,0.222253
case_files\Case2-0.625-9.25-60D_30,0.222273,0.222273
case_files\Case2-0.625-9.5-60D_30,0.222259,0.222259
case_files\Case2-0.625-9.75-60D_30,0.222217,0.222217
case_files\Case2-0.625-10.0-60D_30,0.222147,0.222147
case_files\Case2-0.625-10.25-60D_30,0.222052,0.222052
case_files\Case2-0.625-10.5-60D_30,0.221930,0.221930
case_files\Case2-0.625-10.75-60D_30,0.221786,0.221786
case_files\Case2-0.625-11.0-60D_30,0.221619,0.221619
case_files\Case2-0.625-11.25-60D_30,0.221434,0.221434
case_files\Case2-0.625-11.5-60D_30,0.221230,0.221230
case_files\Case2-0.625-11.75-60D_30,0.221007,0.221007
case_files\Case2-0.625-12.0-60D_30,0.220769,0.220769
case_files\Case2-0.625-12.25-60D_30,0.220514,0.220514
case_files\Case2-0.625-12.5-60D_30,0.220244,0.220244
case_files\Case2-0.625-12.75-60D_30,0.219960,0.219960
case_files\Case2-0.625-13.0-60D_30,0.219665,0.219665
case_files\Case2-0.625-13.25-60D_30,0.219356,0.219356
