case_name,maximum_bs_curvature,maximum_curvature
case_files\Case1-0.55-10.75-60D_30,0.445863E-01,0.445863E-01
case_files\Case1-0.55-11.0-60D_30,0.445554E-01,0.445554E-01
case_files\Case1-0.55-11.25-60D_30,0.445221E-01,0.445221E-01
case_files\Case1-0.55-11.5-60D_30,0.444866E-01,0.444866E-01
case_files\Case1-0.55-11.75-60D_30,0.444491E-01,0.444491E-01
case_files\Case1-0.55-12.0-60D_30,0.444096E-01,0.444096E-01
case_files\Case1-0.55-12.25-60D_30,0.443684E-01,0.443684E-01
case_files\Case1-0.55-12.5-60D_30,0.443252E-01,0.443252E-01
case_files\Case1-0.55-12.75-60D_30,0.442803E-01,0.442803E-01
case_files\Case1-0.55-13.0-60D_30,0.442338E-01,0.442338E-01
case_files\Case1-0.55-13.25-60D_30,0.441862E-01,0.441862E-01
case_files\Case1-0.55-13.5-60D_30,0.441374E-01,0.441374E-01
case_files\Case1-0.55-13.75-60D_30,0.440872E-01,0.440872E-01
case_files\Case1-0.55-14.0-60D_30,0.440357E-01,0.440357E-01
case_files\Case1-0.55-14.25-60D_30,0.439832E-01,0.439832E-01
case_files\Case1-0.55-14.5-60D_30,0.439297E-01,0.439297E-01
case_files\Case1-0.55-14.75-60D_30,0.438751E-01,0.438751E-01
case_files\Case1-0.55-15.0-60D_30,0.438197E-01,0.438197E-01
case_files\Case1-0.55-15.25-60D_30,0.437634E-01,0.437634E-01
case_files\Case1-0.55-15.5-60D_30,0.437062E-01,0.437062E-01
case_files\Case1-0.55-15.75-60D_30,0.436481E-01,0.436481E-01
case_files\Case1-0.55-16.0-60D_30,0.435893E-01,0.435893E-01
case_files\Case1-0.55-16.25-60D_30,0.435298E-01,0.435298E-01
case_files\Case1-0.55-16.5-60D_30,0.434696E-01,0.434696E-01
case_files\Case1-0.55-16.75-60D_30,0.434087E-01,0.434087E-01
case_files\Case1-0.55-17.0-60D_30,0.433471E-01,0.433471E-01
case_files\Case1-0.575-8.0-60D_30,0.410452E-01,0.410452E-01
case_files\Case1-0.575-8.25-60D_30,0.410747E-01,0.410747E-01
case_files\Case1-0.575-8.5-60D_30,0.410984E-01,0.410984E-01
case_files\Case1-0.575-8.75-60D_30,0.411168E-01,0.411168E-01
case_files\Case1-0.575-9.0-60D_30,0.411304E-01,0.411304E-01
case_files\Case1-0.575-9.25-60D_30,0.411395E-01,0.411395E-01
case_files\Case1-0.575-9.5-60D_30,0.411445E-01,0.411445E-01
case_files\Case1-0.575-9.75-60D_30,0.411455E-01,0.411455E-01
case_files\Case1-0.575-10.0-60D_30,0.411430E-01,0.411430E-01
case_files\Case1-0.575-10.25-60D_30,0.411372E-01,0.411372E-01
case_files\Case1-0.575-10.5-60D_30,0.411282E-01,0.411282E-01
case_files\Case1-0.575-10.75-60D_30,0.411163E-01,0.411163E-01
