Case Group,Width,Length,Curvature,Status
case_files\Case2,0.5,17.0,0.288233,Checked
case_files\Case2,0.525,17.0,0.273049,Checked
case_files\Case2,0.55,17.0,0.258016,Checked
case_files\Case2,0.575,17.0,0.243177,Checked
case_files\Case2,0.6,17.0,0.228378,Checked
case_files\Case2,0.625,17.0,0.213606,Checked
case_files\Case2,0.65,17.0,0.198983,Checked
case_files\Case2,0.675,17.0,0.184885,Checked
case_files\Case2,0.7,17.0,0.171748,Checked
case_files\Case2,0.725,17.0,0.159655,Checked
case_files\Case2,0.75,17.0,0.14842,Checked
case_files\Case2,0.775,17.0,0.138024,Checked
case_files\Case2,0.8,17.0,0.12843,Checked
case_files\Case2,0.825,17.0,0.11959,Checked
case_files\Case2,0.85,17.0,0.111465,Checked
case_files\Case2,0.875,17.0,0.104002,Checked
case_files\Case2,0.9,17.0,0.0971495,Checked
case_files\Case2,0.925,17.0,0.0908623,Checked
case_files\Case2,0.95,17.0,0.0850894,Checked
case_files\Case2,0.975,17.0,0.0797789,Checked
case_files\Case2,1.0,17.0,0.0748865,Checked
case_files\Case2,1.025,17.0,0.0703771,Checked
case_files\Case2,1.05,17.0,0.066215,Checked
case_files\Case2,1.075,17.0,0.0623658,Checked
case_files\Case2,1.1,17.0,0.0588023,Checked
case_files\Case2,1.125,17.0,0.055496,Checked
case_files\Case2,1.15,17.0,0.0524354,Checked
case_files\Case2,1.175,17.0,0.0495797,Checked
case_files\Case2,1.175,16.75,0.0494355,Checked
case_files\Case2,1.175,16.5,0.0492874,Checked
case_files\Case2,1.175,16.25,0.0491352,Checked
case_files\Case2,1.175,16.0,0.048978,Checked
case_files\Case2,1.175,15.75,0.0488155,Checked
case_files\Case2,1.175,15.5,0.0486483,Checked
case_files\Case2,1.175,15.25,0.0484764,Checked
case_files\Case2,1.175,15.0,0.0482989,Checked
case_files\Case2,1.175,14.75,0.0481168,Checked
case_files\Case2,1.175,14.5,0.047929,Checked
case_files\Case2,1.175,14.25,0.047735,Checked
case_files\Case2,1.175,14.0,0.0475349,Checked
case_files\Case2,1.175,13.75,0.0473284,Checked
case_files\Case2,1.175,13.5,0.0471157,Checked
case_files\Case2,1.175,13.25,0.0468957,Checked
case_files\Case2,1.175,13.0,0.0466682,Checked
case_files\Case2,1.175,12.75,0.0464336,Checked
case_files\Case2,1.175,12.5,0.0461929,Checked
case_files\Case2,1.175,12.25,0.045944,Checked
case_files\Case2,1.175,12.0,0.0456863,Checked
case_files\Case2,1.175,11.75,0.0454201,Checked
case_files\Case2,1.175,11.5,0.0451443,Checked
case_files\Case2,1.175,11.25,0.0448661,Checked
case_files\Case2,1.175,11.0,0.0446513,Checked
case_files\Case2,1.175,10.75,0.0445132,Checked
case_files\Case2,1.175,10.5,0.0444503,Checked
case_files\Case2,1.175,10.25,0.0444652,Checked
case_files\Case2,1.175,10.0,0.0445602,Checked
case_files\Case2,1.175,9.75,0.0447382,Checked
case_files\Case2,1.175,9.5,0.0450016,Checked
case_files\Case2,1.175,9.25,0.0453552,Checked
case_files\Case2,1.175,9.0,0.0458038,Checked
case_files\Case2,1.175,8.75,0.0463515,Checked
case_files\Case2,1.175,8.5,0.0470082,Checked
case_files\Case2,1.175,8.25,0.0477785,Checked
case_files\Case2,1.175,8.0,0.0486758,Checked
