Case Group,Width,Length,Curvature,Status
case_files\Case5,0.5,17.0,0.305741,Checked
case_files\Case5,0.525,17.0,0.291219,Checked
case_files\Case5,0.55,17.0,0.276811,Checked
case_files\Case5,0.575,17.0,0.262591,Checked
case_files\Case5,0.6,17.0,0.248437,Checked
case_files\Case5,0.625,17.0,0.234353,Checked
case_files\Case5,0.65,17.0,0.220308,Checked
case_files\Case5,0.675,17.0,0.206373,Checked
case_files\Case5,0.7,17.0,0.192706,Checked
case_files\Case5,0.725,17.0,0.179731,Checked
case_files\Case5,0.75,17.0,0.167705,Checked
case_files\Case5,0.775,17.0,0.15661,Checked
case_files\Case5,0.8,17.0,0.146266,Checked
case_files\Case5,0.825,17.0,0.136644,Checked
case_files\Case5,0.85,17.0,0.127721,Checked
case_files\Case5,0.875,17.0,0.119461,Checked
case_files\Case5,0.9,17.0,0.111824,Checked
case_files\Case5,0.925,17.0,0.104765,Checked
case_files\Case5,0.95,17.0,0.0982517,Checked
case_files\Case5,0.975,17.0,0.0922391,Checked
case_files\Case5,1.0,17.0,0.086689,Checked
case_files\Case5,1.025,17.0,0.0815675,Checked
case_files\Case5,1.05,17.0,0.0768307,Checked
case_files\Case5,1.075,17.0,0.0724508,Checked
case_files\Case5,1.1,17.0,0.0683875,Checked
case_files\Case5,1.125,17.0,0.0646179,Checked
case_files\Case5,1.15,17.0,0.0611167,Checked
case_files\Case5,1.175,17.0,0.0578578,Checked
case_files\Case5,1.2,17.0,0.0548258,Checked
case_files\Case5,1.225,17.0,0.0519946,Checked
case_files\Case5,1.25,17.0,0.0493541,Checked
case_files\Case5,1.275,17.0,0.0468875,Checked
case_files\Case5,1.3,17.0,0.0445749,Checked
case_files\Case5,1.325,17.0,0.0424047,Checked
case_files\Case5,1.35,17.0,0.0403688,Checked
case_files\Case5,1.375,17.0,0.0384572,Checked
case_files\Case5,1.4,17.0,0.0366616,Checked
case_files\Case5,1.425,17.0,0.0349712,Checked
case_files\Case5,1.45,17.0,0.033378,Checked
case_files\Case5,1.45,16.75,0.0332533,Checked
case_files\Case5,1.45,16.5,0.0331252,Checked
case_files\Case5,1.45,16.25,0.0329936,Checked
case_files\Case5,1.45,16.0,0.0328586,Checked
case_files\Case5,1.45,15.75,0.0327203,Checked
case_files\Case5,1.45,15.5,0.0325782,Checked
case_files\Case5,1.45,15.25,0.0324321,Checked
case_files\Case5,1.45,15.0,0.0322824,Checked
case_files\Case5,1.45,14.75,0.0321454,Checked
case_files\Case5,1.45,14.5,0.0320384,Checked
case_files\Case5,1.45,14.25,0.031964,Checked
case_files\Case5,1.45,14.0,0.0319199,Checked
case_files\Case5,1.45,13.75,0.0319075,Checked
case_files\Case5,1.45,13.5,0.0319263,Checked
case_files\Case5,1.45,13.25,0.0319787,Checked
case_files\Case5,1.45,13.0,0.0320643,Checked
case_files\Case5,1.45,12.75,0.0321833,Checked
case_files\Case5,1.45,12.5,0.0323377,Checked
case_files\Case5,1.45,12.25,0.0325297,Checked
case_files\Case5,1.45,12.0,0.0327596,Checked
case_files\Case5,1.45,11.75,0.0330298,Checked
case_files\Case5,1.45,11.5,0.0333425,Checked
case_files\Case5,1.45,11.25,0.0337003,Checked
case_files\Case5,1.45,11.0,0.0341057,Checked
case_files\Case5,1.45,10.75,0.034563,Checked
case_files\Case5,1.45,10.5,0.0350763,Checked
case_files\Case5,1.475,10.5,0.034794,Checked
case_files\Case5,1.5,10.5,0.0346118,Checked
case_files\Case5,1.5,10.25,0.0352924,Checked
case_files\Case5,1.525,10.25,0.0352521,Checked
case_files\Case5,1.55,10.25,0.0352843,Checked
case_files\Case5,1.575,10.25,0.035387,Checked
case_files\Case5,1.6,10.25,0.0355487,Checked
case_files\Case5,1.625,10.25,0.0357653,Checked
case_files\Case5,1.65,10.25,0.0360311,Checked
case_files\Case5,1.675,10.25,0.0363407,Checked
case_files\Case5,1.7,10.25,0.0366951,Checked
case_files\Case5,1.725,10.25,0.0370902,Checked
case_files\Case5,1.75,10.25,0.0375176,Checked
case_files\Case5,1.775,10.25,0.0379806,Checked
case_files\Case5,1.8,10.25,0.0384774,Checked
case_files\Case5,1.825,10.25,0.0390024,Checked
case_files\Case5,1.85,10.25,0.0395531,Checked
case_files\Case5,1.875,10.25,0.0401294,Checked
case_files\Case5,1.9,10.25,0.0407355,Checked
case_files\Case5,1.925,10.25,0.0413654,Checked
case_files\Case5,1.95,10.25,0.0420185,Checked
case_files\Case5,1.975,10.25,0.0426964,Checked
case_files\Case5,2.0,10.25,0.0433968,Checked
